Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Terminated Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude,Area,Reg year
Toronto,Toronto C01,Waterfront Communities C1,2700,,9,4611,87,Peter,87 Peter St 4611‚ Toronto,M5V 2G4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,0-5,EXP,E,,0,,"Concierge, Exercise Room, Guest Suites, Recreation Room, Rooftop Deck/Garden",389.32,2565.15,C7378236,1/4/2024,689000,689000,689000,,,,,117,548 Sqft Per Floorplan,,,,,HC REALTY GROUP INC.,1/4/2024,,5/1/2024,"87 Peter st, Toronto, ON, Canada","87 Peter St, Toronto, ON M5V 0P1, Canada",43.6468737,-79.392387,533,
Toronto,Toronto C01,Waterfront Communities C1,2603,Bisha Hotel & Residences,1,1401,88,Blue Jays,88 Blue Jays Way 1401‚ Toronto,M5V 0L7,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,600-699,,TER,N,Y,1,,"Concierge, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",546.35,3584.56,C8125480,3/8/2024,849000,849000,849000,,,,,54,Per Builder 583+47,,5/1/2024,,,RIGHT AT HOME REALTY,3/8/2024,,5/1/2024,"88 Blue Jays st, Toronto, ON, Canada","88 Blue Jays Way, Toronto, ON M5V 0L7, Canada",43.6455046,-79.3924571,650,
Toronto,Toronto C01,Waterfront Communities C1,2647,,10,7210,88,Harbour,88 Harbour St 7210‚ Toronto,M5J 0C3,2,,2,2,2,Open,Condo Apt‚ Apartment,1000-1199,0-5,TER,Sw,Y,2,,,1202.15,3693.65,C8109182,3/2/2024,1780000,1780000,1780000,,,,,58,Builder's Floorplan,,4/29/2024,,,CONDOWONG REAL ESTATE INC.,3/2/2024,,5/1/2024,"88 Harbour st, Toronto, ON, Canada","88 Harbour St, Toronto, ON M5J 1B7, Canada",43.6418534,-79.3790565,1121,
Toronto,Toronto C01,Waterfront Communities C1,949,,3,1403,99,Harbour,99 Harbour Sq 1403‚ Toronto,M5J 2H2,0,,0,0,1,,Condo Apt‚ Apartment,0-499,,TER,Se,,0,Exclusive,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Sauna",541.65,2018.82,C8269556,4/25/2024,479000,479000,479000,,,,,13,-,,5/8/2024,119490882,1.90E+14,CENTURY 21 LEADING EDGE REALTY INC.,4/25/2024,,5/8/2024,"99 Harbour st, Toronto, ON, Canada","99 Harbour St, Toronto, ON M5J 2L9, Canada",43.6409124,-79.3811493,486,
Toronto,Toronto C01,Waterfront Communities C1,2909,,3,2003,99,John,99 John St 2003‚ Toronto,M5V 0S6,1,,1,1,1,Jlte,Condo Apt‚ Apartment,500-599,0-5,Sold,S,,0,Owned,"Bbqs Allowed, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Visitor Parking",389.11,2445.23,C8250176,4/19/2024,588888,608000,558888,608000,109,5/1/2024,5/30/2024,12,As Per Buliders Floor Plan,,,769090200,1.90E+14,FIRST CLASS REALTY INC.,4/19/2024,"RE/MAX REALTRON REALTY INC., BROKERAGE",5/2/2024,"99 John st, Toronto, ON, Canada","99 John St, Toronto, ON M5V 0S6, Canada",43.6475245,-79.3899312,542,
Toronto,Toronto C01,Waterfront Communities C1,2909,Pj Condos,3,803,99,John,99 John St 803‚ Toronto,M5V 0S6,3,1,3+1,4,2,Jlte,Comm Element Condo‚ Apartment,1000-1199,0-5,TER,Sw,,1,Owned,"Bbqs Allowed, Concierge, Exercise Room, Gym, Outdoor Pool, Visitor Parking",798.08,4597.3,C8210634,4/6/2024,999888,1324900,1324900,,,,,30,Builder Floor Plan,,5/6/2024,,1.90E+14,HOMELIFE LANDMARK REALTY INC.,4/6/2024,,5/6/2024,"99 John st, Toronto, ON, Canada","99 John St, Toronto, ON M5V 0S6, Canada",43.6475245,-79.3899312,1000,
Toronto,Toronto C01,Niagara,1328,The Candy Factory Lofts,7,407,993,Queen,993 Queen St W 407‚ Toronto,M6J 1H2,1,,1,1,1,Jlte,Condo Apt‚ Loft,1000-1199,,TER,S,Y,1,Owned,"Concierge, Exercise Room, Party/Meeting Room, Recreation Room, Rooftop Deck/Garden, Visitor Parking",640.93,4184.2,C8220046,4/10/2024,1099000,1189000,1189000,,,,,24,Mpac,,5/3/2024,123280080,1.90E+14,SAGE REAL ESTATE LIMITED,4/9/2024,,5/3/2024,"993 Queen st, Toronto, ON, Canada","993 Queen St W, Toronto, ON M6J 1H2, Canada",43.6446488,-79.4156165,1000,
Toronto,Toronto C01,Waterfront Communities C1,2460,The Mercer,6,1906,8,Mercer,8 Mercer St 1906‚ Toronto,M5V 0C4,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,500-599,,Sold,S,,0,Owned,"Concierge, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",369.75,2825,C8298992,5/2/2024,499000,630000,499000,630000,126,5/9/2024,6/3/2024,7,570 Sq Ft Mpac,,,764600256,1.90E+14,RARE REAL ESTATE,5/2/2024,"IPRO REALTY LTD., BROKERAGE",5/14/2024,"8 Mercer st, Toronto, ON, Canada","8 Mercer St, Toronto, ON M5V 0C4, Canada",43.6459498,-79.3897558,570,
Toronto,Toronto C01,Niagara,2444,Dna Condos 3,6,106,1030,King,1030 King St W 106‚ Toronto,M6K 0B4,2,,2,2,2,Open,Condo Townhouse‚ 2-Storey,900-999,,TER,Ne,Y,1,,"Concierge, Games Room, Gym, Party/Meeting Room, Visitor Parking",694.25,3406.06,C8129604,3/9/2024,1129900,1129900,1129900,,,,,59,921 As Per Mpac,,5/7/2024,,,RE/MAX PREMIER INC.,3/9/2024,,5/7/2024,"1030 King st, Toronto, ON, Canada","1030 King St W, Toronto, ON M6K 0B4, Canada",43.6415878,-79.415938,900,2015
Toronto,Toronto C01,Waterfront Communities C1,2547,,1,1201,318,Richmond,318 Richmond St W 1201‚ Toronto,M5V 1X2,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,500-599,,TER,Nw,,0,,"Concierge, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden",447.37,2345.2,C8300080,5/2/2024,689900,689900,689900,,,,,11,As Per Builders,,5/13/2024,,,HOMELIFE/MIRACLE REALTY LTD,5/2/2024,,5/13/2024,"318 Richmond st, Toronto, ON, Canada","318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.6489242,-79.3921998,514,
Toronto,Toronto C01,Bay Street Corridor,2751,The Britt,7,907,955,Bay,955 Bay St 907‚ Toronto,M5S 0C6,0,,0,0,1,Terr,Condo Apt‚ Bachelor/Studio,0-499,0-5,TER,W,,0,,"Gym, Outdoor Pool, Party/Meeting Room, Visitor Parking",280.65,1952.18,C8301262,5/3/2024,599000,599000,599000,,,,,9,As Per Floor Plan,,5/11/2024,,,BEST CANADA HOME REALTY INC.,5/2/2024,,5/11/2024,"955 Bay st, Toronto, ON, Canada","955 Bay St., Toronto, ON M5S 0C6, Canada",43.6646319,-79.3869529,393,
Toronto,Toronto C01,Waterfront Communities C1,2510,Ice Condos,11,4111,12,York,12 York St 4111 Toronto,M5J 0A9,1,1,1+1,2,1,Jlte,Condo Apt Apartment,500-599,,TER,Se,,0,Owned,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",469,"2,778.30",C8309274,5/6/2024,"$588,000","$588,000","$588,000",,,,,16,Mpac,,5/22/2024,,,ROYAL LEPAGE SIGNATURE REALTY,5/6/2024,,5/22/2024,"12 York st, Toronto, ON, Canada","12 York St, Toronto, ON M5J 0A9, Canada",43.6417442,-79.3819559,503,
Toronto,Toronto C01,Niagara,2915,,11,711,135,East Liberty,135 East Liberty St 711‚ Toronto,M6K 0G7,1,1,1+1,2,1,,Condo Apt‚ Apartment,500-599,,TER,N,Y,1,Owned,"Concierge, Exercise Room, Gym, Party/Meeting Room",642.42,3067.3,C8290246,4/30/2024,499999,499999,499999,,,,,9,570 Sq Ft Mpac,,5/9/2024,,,CENTURY 21 PERCY FULTON LTD.,4/30/2024,,5/9/2024,"135 East Liberty st, Toronto, ON, Canada","135 E Liberty St, Toronto, ON M6K 0G7, Canada",43.638566,-79.416906,,
Toronto,Toronto C01,Waterfront Communities C1,2510,,22,412,14,York,14 York St 412 Toronto,M5J 2Z2,1,1,1+1,2,1,Open,Condo Apt Apartment,500-599,,TER,E,Y,0,,"Concierge, Gym, Media Room, Recreation Room",450,"2,700",C8289938,4/30/2024,"$599,850","$599,850","$599,850",,,,,24,Mpac,,5/24/2024,,,RE/MAX PROFESSIONALS INC.,4/30/2024,,5/24/2024,"14 York st, Toronto, ON, Canada","14 York St, Toronto, ON M5J 0B1, Canada",43.6419657,-79.3815389,579,
Toronto,Toronto C01,Waterfront Communities C1,1788,,1,1701,16,Yonge,16 Yonge St 1701‚ Toronto,M5E 2A1,2,,2,2,2,Open,Condo Apt‚ Apartment,800-899,,Sold,W,Y,1,Owned,"Bbqs Allowed, Bus Ctr (Wifi Bldg), Party/Meeting Room, Rooftop Deck/Garden, Squash/Racquet Court",697.36,3251.42,C8039946,2/2/2024,819900,790000,819900,790000,96,4/26/2024,5/31/2024,85,799 Sqft Interior + 43 Sqft Exterior,,,,1.90E+14,RE/MAX PLUS CITY TEAM INC.,2/1/2024,"PROPERTY.CA INC., BROKERAGE",5/6/2024,"16 Yonge st, Toronto, ON, Canada","16 Yonge St, Toronto, ON M5E 2A1, Canada",43.6432538,-79.3761506,800,
Toronto,Toronto C01,Waterfront Communities C1,2406,Library District Condominim,1,701,170,Fort York,170 Fort York Blvd 701 Toronto,M5V 0E6,1,1,1+1,2,1,Open,Condo Apt Apartment,600-699,,TER,W,,0,Owned,"Bbqs Allowed, Concierge, Gym, Party/Meeting Room, Visitor Parking",588.18,"2,311.90",C8144152,3/15/2024,"$595,000","$595,000","$595,000",,,,,64,643 Sf As Per Builder Plans,,5/18/2024,,1.90E+14,CENTURY 21 ATRIA REALTY INC.,3/15/2024,,5/18/2024,"170 Fort York st, Toronto, ON, Canada","170 Fort York Blvd, Toronto, ON M5V 0E6, Canada",43.6393686,-79.3995846,643,2014
Toronto,Toronto C01,Little Portugal,2355,The Curve,19,420,170,Sudbury,170 Sudbury St 420‚ Toronto,M6J 0A1,2,,2,2,1,Open,Condo Apt‚ Apartment,600-699,,TER,W,,0,Exclusive,"Bbqs Allowed, Bike Storage, Guest Suites, Gym, Party/Meeting Room, Visitor Parking",581.8,2172.06,C8136772,3/12/2024,639900,599900,599900,,,,,58,Previous Listing,,5/9/2024,,,REAL ESTATE HOMEWARD,3/12/2024,,5/9/2024,"170 Sudbury st, Toronto, ON, Canada","170 Sudbury St, Toronto, ON M6J 0A1, Canada",43.641759,-79.4246836,650,
Toronto,Toronto C01,Waterfront Communities C1,2835,,17,517,330,Richmond,330 Richmond St W 517‚ Toronto,M5V 1X2,1,1,1+1,2,1,Terr,Condo Apt‚ Apartment,700-799,0-5,Sold,N,,0,Owned,"Bike Storage, Concierge, Games Room, Gym, Outdoor Pool, Rooftop Deck/Garden",556.65,2944.93,C8302020,5/3/2024,649900,620000,649900,620000,95,5/8/2024,6/20/2024,5,Floor Plan,,,,,NORMAN HILL REALTY INC.,5/3/2024,"HOMELIFE NEW WORLD REALTY INC., BROKERAGE",5/14/2024,"330 Richmond st, Toronto, ON, Canada","330 Richmond St W, Toronto, ON M5V 1X2, Canada",43.6489309,-79.3927925,711,
