Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date
Toronto,Toronto C01,Bay Street Corridor,943,,1,2101,25,Grenville,25 Grenville St 2101Â Toronto,M4Y 2X5,1,1,1Â +Â 1,2,1,,Condo AptÂ Apartment,700-799,,TER,N,,0,,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Squash/Racquet Court",816.5,2105.43,C7244508,10/24/2023,499999,569888,569888,,,,,70,As Per Floor Plan,,,1/2/2024,1/2/2024,119430000,1.90E+14,ROYAL LEPAGE TERREQUITY REALTY,10/24/2023,,1/2/2024
Toronto,Toronto C01,Waterfront Communities C1,2517,,14,514,199,Richmond,199 Richmond St W 514Â Toronto,M5V 0H4,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,0-5,TER,S,,0,Owned,"Concierge, Exercise Room, Gym, Party/Meeting Room, Security Guard, Visitor Parking",458.98,2112.09,C7301798,11/15/2023,575000,575000,575000,,,,,49,Sq. Ft.,,,1/3/2024,1/3/2024,214110266,,CENTURY 21 PARKLAND LTD.,11/15/2023,,1/3/2024
Toronto,Toronto C01,Niagara,2307,The Garrison At Fort York,8,909,169,Fort York,169 Fort York Blvd 909Â Toronto,M5V 0C8,1,,1,1,1,Open,Condo AptÂ Apartment,600-699,2024-06-10 0:00,EXP,E,,1,Owned,"Concierge, Gym, Rooftop Deck/Garden, Security Guard, Visitor Parking",445.15,2205.37,C7028266,9/25/2023,589000,575000,575000,,,,,97,603 Floor Plan,,,,,763070207,1.90E+14,CHESTNUT PARK REAL ESTATE LIMITED,9/25/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2510,Ice Condos 2,909,909,14,York,14 York St 909Â Toronto,M5J 2Z2,1,1,1Â +Â 1,2,1,Jlte,Condo AptÂ Apartment,500-599,2024-06-10 0:00,TER,N,,0,,"Concierge, Exercise Room, Gym, Indoor Pool, Recreation Room, Security Guard",413.87,2458.22,C7064944,10/6/2023,578000,578000,578000,,,,,90,505 Sqft As Per Floorplan,,,1/4/2024,1/4/2024,213950229,,ROYAL LEPAGE SIGNATURE REALTY,10/6/2023,,1/4/2024
Toronto,Toronto C01,Waterfront Communities C1,2921,The Woodsworth,5,205,458,Richmond,458 Richmond St W 205Â Toronto,M5V 1Y1,1,,1,1,1,,Condo AptÂ Apartment,0-499,,EXP,S,,0,Owned,"Gym, Party/Meeting Room",484.74,3525.72,C7224154,10/17/2023,579000,579000,579000,,,,,75,Builder's Flr Plan 474,,,,,769210008,1.90E+14,FOREST HILL REAL ESTATE INC.,10/17/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,1549,,2,1227,250,Wellington,250 Wellington St 1227Â Toronto,M5V 3P6,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,500-599,,EXP,N,Y,1,Owned,"Concierge, Exercise Room, Party/Meeting Room",597,2211.76,C7207204,10/11/2023,579800,579800,579800,,,,,82,Builder Plan,,,,,124410000,,HOMELIFE LANDMARK REALTY INC.,10/11/2023,,1/2/2024
Toronto,Toronto C01,Bay Street Corridor,2845,,10,3010,11,Wellesley,11 Wellesley St W 3010Â Toronto,M4Y 1E8,0,,0,0,1,Open,Condo AptÂ Apartment,0-499,0-5,EXP,N,Y,1,Owned,,375.24,2107.07,C7053786,10/3/2023,549900,579900,579900,,,,,89,Builders Floorplan 343 Sq Ft,,,,,211040025,,ROYAL LEPAGE VISION REALTY,10/3/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2450,,903,903,19,Grand Trunk,19 Grand Trunk Cres 903Â Toronto,M5J 3A3,1,1,1Â +Â 1,2,1,Open,Condo AptÂ Apartment,700-799,,Sold,N,,0,,"Exercise Room, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",574.12,2705,C7338884,12/4/2023,620000,593000,599000,593000,99,1/4/2024,2/21/2024,31,Builder,,,,,764500000,,ROYAL LEPAGE NEW CONCEPT,12/4/2023,"HOMELIFE/GTA REALTY INC., BROKERAGE",1/5/2024
Toronto,Toronto C01,Niagara,2350,,1,1101,125,Western Battery,125 Western Battery Rd W 1101Â Toronto,M6K 3R8,1,,1,1,1,Open,Condo AptÂ Apartment,500-599,2024-06-10 0:00,TER,N,,0,Owned,"Concierge, Gym, Party/Meeting Room, Security Guard, Visitor Parking",340.01,2025.47,C7324372,11/27/2023,595000,595000,595000,,,,,38,As Per Builder,,,1/2/2024,1/2/2024,763500000,,HOMEPIN REALTY INC.,11/25/2023,,1/2/2024
Toronto,Toronto C01,Bay Street Corridor,723,,2403,2403,633,Bay,633 Bay St 2403Â Toronto,M5G 2G4,1,1,1Â +Â 1,2,1,,Condo AptÂ Apartment,800-899,,TER,N,,0,,"Bike Storage, Concierge, Exercise Room, Indoor Pool, Recreation Room, Rooftop Deck/Garden",718.13,2718,C7340630,12/5/2023,599000,599000,599000,,,,,29,800 - 899,,,1/3/2024,1/3/2024,117230415,1.90E+14,IPRO REALTY LTD.,12/5/2023,,1/3/2024
